season,season_name,episode,gender,castaway_id,castaway,full_name,acknowledge,ack_score,ack_quote_clean
36,Survivor: Ghost Island,10,Male,US0528,Michael,Michael Yerger,True,3,"It's been one hell of a time, guys. Vinaka."
36,Survivor: Ghost Island,12,Female,US0530,Kellyn,Kellyn Bechtold,True,4,"It's truly been a pleasure. From the bottom of my heart, i wish you all the best of look."
36,Survivor: Ghost Island,13,Male,US0531,Sebastian,Sebastian Noel,True,4,You guys have no idea how much fun i had with all you. It was truly a pleasure.
36,Survivor: Ghost Island,13,Female,US0533,Angela,Angela Perkins,True,3,Good luck.
37,Survivor: David vs. Goliath,2,Female,US0538,Jessica,Jessica Peet,True,2,"Bye, guys."
37,Survivor: David vs. Goliath,4,Female,US0541,Natalia,Natalia Azoqa,True,3,Did you know? why are you smiling. Oh my god i can't handle you right now.
37,Survivor: David vs. Goliath,6,Female,US0543,Lyrsa,Lyrsa Torres,True,2,"Bye, guys."
37,Survivor: David vs. Goliath,7,Female,US0544,Elizabeth,Elizabeth Olson,True,3,"Good luck, you guys. I love you all. I really do."
37,Survivor: David vs. Goliath,8,Male,US0545,John,John Hennigan,True,4,Guys.
37,Survivor: David vs. Goliath,10,Male,US0548,Carl,Carl Boudreaux,True,3,"Go get 'em. Good job, guys."
37,Survivor: David vs. Goliath,11,Female,US0549,Gabby,Gabby Pascuzzi,True,4,"Sorry, christian. I love you."
37,Survivor: David vs. Goliath,12,Male,US0550,Christian,Christian Hubicki,True,3,Good luck to you all. Well played.
37,Survivor: David vs. Goliath,13,Male,US0551,Davie,Davie Rickenbacker,True,3,"I will say this. The person who orchestrated this, you now have my vote for a million dollars. It's up to someone else to make a bigger move."
37,Survivor: David vs. Goliath,13,Female,US0552,Alison,Alison Raybould,True,4,Good luck. I'll see you all soon.
37,Survivor: David vs. Goliath,13,Female,US0553,Kara,Kara Kay,True,4,Bye guys. See you soon.
38,Survivor: Edge of Extinction,1,Female,US0557,Reem,Reem Daly,True,2,Thank you.
38,Survivor: Edge of Extinction,5,Female,US0477,Aubry,Aubry Bracco,True,2,"Good luck, guys. Kill it."
38,Survivor: Edge of Extinction,6,Male,US0451,Joe,Joe Anglim,True,2,You made a big mistake.
38,Survivor: Edge of Extinction,7,Male,US0562,Eric,Eric Hafemann,True,2,The lord gives. The lord takes away. What a fun experience. Hopefully i'll see you soon.
38,Survivor: Edge of Extinction,8,Female,US0563,Julia,Julia Carter,True,3,"It's been such a pleasure, guys. I know it's a game but, really, take care of yourselves and each other. Good luck."
38,Survivor: Edge of Extinction,9,Male,US0495,David,David Wright,True,3,No hard feelings guys. You know i had to try. But i am going to follow my way back in.
38,Survivor: Edge of Extinction,9,Female,US0429,Kelley,Kelley Wentworth,True,3,Good luck. See you soon.
38,Survivor: Edge of Extinction,10,Male,US0564,Wardog,Dan DaSilva,True,4,Y'all made the right decision. Love you.
38,Survivor: Edge of Extinction,11,Male,US0565,Ron,Ron Clark,True,4,"Devins, you're a great player. It was a lot of fun. Bye. Thanks."
38,Survivor: Edge of Extinction,12,Female,US0566,Aurora,Aurora McCreary,True,4,Good game guys. Good luck. Get him out.
38,Survivor: Edge of Extinction,13,Female,US0567,Victoria,Victoria Baamonde,True,4,"I'm not sure which one of you did it. Devins, great play. Gavin, i'm voing for you, man."
38,Survivor: Edge of Extinction,13,Female,US0568,Lauren,Lauren O'Connell,True,4,"Bye guys. Seriously, good luck."
38,Survivor: Edge of Extinction,13,Male,US0560,Rick,Rick Devens,True,4,Thank you.
39,Survivor: Island of the Idols,1,Male,US0571,Ronnie,Ronnie Bardah,True,3,Ok guys.
39,Survivor: Island of the Idols,2,Female,US0572,Molly,Molly Byman,True,4,"Good luck, guys."
39,Survivor: Island of the Idols,3,Male,US0573,Vince,Vince Moua,True,4,"Good luck, all."
39,Survivor: Island of the Idols,4,Female,US0574,Chelsea,Chelsea Walker,True,4,"Good luck, guys."
39,Survivor: Island of the Idols,5,Male,US0575,Tom,Tom Laidlaw,True,2,"See ya, guys. Good luck."
39,Survivor: Island of the Idols,7,Male,US0577,Jack,Jack Nichting,True,4,See you all.
39,Survivor: Island of the Idols,8,Female,US0578,Kellee,Kellee Kim,True,4,"Good luck, guys."
39,Survivor: Island of the Idols,9,Female,US0581,Missy,Missy Byrd,True,4,"Dang, elaine, i knew it. All right. I'll see you all later. Wednesday night at 8."
39,Survivor: Island of the Idols,10,Female,US0582,Elizabeth,Elizabeth Beisel,True,4,Love you.
39,Survivor: Island of the Idols,12,Female,US0584,Elaine,Elaine Stott,True,3,Love y'all.
39,Survivor: Island of the Idols,13,Female,US0586,Janet,Janet Carbin,True,3,Bye guys.
39,Survivor: Island of the Idols,13,Female,US0587,Lauren,Lauren Beck,True,4,"Bye guys, good luck. Love you tommy."
40,Survivor: Winners at War,3,Male,US0048,Ethan,Ethan Zohn,True,2,Good luck.
40,Survivor: Winners at War,6,Female,US0197,Parvati,Parvati Shallow,True,2,"Good luck, guys."
40,Survivor: Winners at War,6,Female,US0112,Sandra,Sandra Diaz-Twine,True,3,Day 16 got me again.
40,Survivor: Winners at War,7,Male,US0202,Yul,Yul Kwon,True,3,"Alright, you guys."
40,Survivor: Winners at War,8,Male,US0536,Wendell,Wendell Holland,True,2,"Keep playing, guys."
40,Survivor: Winners at War,9,Male,US0498,Adam,Adam Klein,True,2,"Good luck, guys."
40,Survivor: Winners at War,10,Male,US0274,Tyson,Tyson Apostol,True,2,See you guy soon.
40,Survivor: Winners at War,11,Female,US0353,Sophie,Sophie Clarke,True,3,"Good luck, guys. Did not see it coming."
40,Survivor: Winners at War,13,Male,US0556,Nick,Nick Wilson,True,3,I'll do my best to join you again tomorrow.
40,Survivor: Winners at War,14,Female,US0386,Denise,Denise Stapley,True,3,Kick ass.
40,Survivor: Winners at War,14,Female,US0414,Sarah,Sarah Lacina,True,3,"It was a pleasure. Tony: i love you. Crush it tomorrow, alright?"
41,Survivor: 41,1,Male,US0591,Abraham,Eric Abraham,True,3,Enjoy this ride.
41,Survivor: 41,1,Female,US0592,Sara,Sara Wilson,True,4,Good bye. Good luck.
41,Survivor: 41,5,Female,US0595,Genie,Genie Chen,True,3,Bye guys.
41,Survivor: 41,8,Female,US0604,Tiffany,Tiffany Seely,True,4,"Good luck, guys."
41,Survivor: 41,9,Male,US0600,Naseer,Naseer Muttalif,True,4,"Good job, guys."
41,Survivor: 41,9,Non-binary,US0598,Evvie,Evvie Jagoda,True,3,"Well played, guys."
41,Survivor: 41,11,Female,US0608,Liana,Liana Wallace,True,4,Bye y'all. Play hard.
41,Survivor: 41,12,Male,US0599,Danny,Danny McCray,True,4,Apprecite you. Go cowboys.
41,Survivor: 41,13,Female,US0593,Heather,Heather Aldret,True,4,"Bye, guys."
